CASEID,recid,agearr10,agecxryg,agefhsdg,agegr10,agehsdyg,aprgrdif,ageprg10,sex,marstat,sexpr,prtypec,chh0014c,chinhsdc,cxr0014c,cxrflag,cxrtime6,parnum,livarr08,livarr11,fhsd,mhsd,agemhsdg,grfhsd,grmhsd,sonhsd,dauhsd,solhsdc,grsohsdc,grchhsdc,grdahsdc,brhsdc,brohsdc,sihsdc,ilhsdc,orelhsdc,unrlhsdc,hsdsizec,hsdeligc,multigen,mar_110,mar_133,mar_134,mar_135,mar_137,whw120gr,whw_230,whw_240,jsr_01gr,jsr_02,jsr_03,jsr_04,jsr_05,jsr_06,jsr_07,jsr_08,jsr_09,jsr_10,sfc_01,sfc_02,sfc_03,sfc_04gr,sfc_05,sfc_06,sfc_07,sfc_08,sfc_09,smg_01,smg_02,ttlincg2,famincg2
    1,    1,96,96,96,5, 7,12, 6,2,1,1,1,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 6,2,2,1,6,3, 1,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,96,6,96,96,96,1,96,2,5
    2,    2,96,96,96,5, 6,96,96,2,6,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2, 8,1,6,6,6,3, 1,6,6,2,96,2,6,6,2,2,1,1,3,5,6,6, 4,6, 4, 5, 5,3, 6,4,4
    3,    3,96,96,96,6, 8,96,96,2,3,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2, 6,2,2,2,6,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,96,6,96,96,96,1,96,2,2
    4,    4,96,96,96,6, 8,10, 7,2,1,1,1,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 6,2,2,2,6,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,96,6,96,96,96,3, 6,1,3
    5,    5, 3,96,96,2, 3,96,96,1,6,6,0,0,0,0,2,1,0,5,10,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2, 1,1,6,6,6,3, 1,6,6,2,96,2,6,6,2,3,2,5,3,4,6,6, 3,6, 5, 5, 5,2, 6,1,2
    6,    6,96, 1,96,3, 1, 8, 3,1,1,2,1,3,3,3,1,5,0,5, 3,2,2,96,2,2,2,1,0,0,0,0,0,0,0,0,0,0,5,2,2, 1,1,6,6,6,3, 8,2,1,6,96,2,6,6,6,6,2,2,6,6,6,6,96,6,96,96,96,4, 2,5,6
    7,    7,96,96,96,4, 6,96,96,2,5,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2, 1,1,6,6,6,3, 1,6,6,2,96,2,6,6,2,2,2,2,3,3,6,6, 4,6, 4, 3, 6,3, 2,4,4
    8,    8, 2, 1,96,3, 1, 8, 3,1,1,2,1,2,2,2,1,5,0,5, 3,2,2,96,2,2,0,2,0,0,0,0,0,0,0,0,0,0,4,2,2, 1,1,6,6,6,3, 1,6,6,2,96,2,6,6,3,3,2,2,4,6,2,6, 3,6, 4, 3, 6,3, 3,5,6
    9,    9,96,96,96,1, 3,96,96,2,6,6,0,0,0,0,2,1,0,1,10,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2, 1,1,6,6,6,4,98,6,6,2,96,2,6,6,1,2,2,2,1,2,6,6, 5,6, 4, 4, 6,4, 5,1,4
   10,   10, 4, 3, 5,4, 2,14, 5,2,1,1,1,1,3,1,1,6,1,5, 9,1,2,96,2,2,1,2,0,0,0,0,0,0,0,0,0,0,6,4,1, 1,1,6,6,6,3, 1,6,6,1,96,2,6,6,1,1,1,2,1,4,6,6, 5,6, 5, 5, 6,3, 3,2,6
   11,   11,96,96,96,7, 9,96,96,2,3,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2, 6,2,2,2,6,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,96,6,96,96,96,3, 7,2,2
   12,   12,96, 2,96,2, 1,96,96,1,6,6,0,3,1,3,1,3,0,5, 6,2,2,96,2,2,3,0,0,0,0,0,0,0,0,0,0,0,4,1,2, 4,2,1,2,6,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,96,6,96,96,96,2, 2,2,2
   13,   13,96,96, 3,1, 2,96,96,2,6,6,0,0,0,0,2,1,2,2, 8,1,1, 2,2,2,0,0,0,0,0,0,2,2,0,0,0,0,5,4,2, 3,2,1,2,6,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,96,6,96,96,96,4, 4,1,4
   14,   14,96,96,96,4, 6, 6, 4,1,1,2,1,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 1,1,6,6,6,3, 1,6,6,2,96,2,6,6,2,2,2,2,2,4,6,6, 4,6, 3, 4, 6,2, 1,3,5
   15,   15,96,96,96,2, 3, 4, 2,1,2,2,2,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 1,1,6,6,6,3, 1,6,6,1,96,2,6,6,1,1,2,1,1,1,6,6, 3,6, 4, 4, 6,3, 1,4,6
   16,   16,96,96,96,7, 8,96,96,2,5,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2, 6,2,2,2,6,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,96,6,96,96,96,1,96,2,2
   17,   17,96,96,96,6, 7,11, 6,2,1,1,1,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 6,2,2,2,6,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,96,6,96,96,96,3,97,1,3
   18,   18,96,96,96,5, 6, 8, 5,2,1,1,1,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 6,2,2,2,6,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,96,6,96,96,96,2, 7,1,2
   19,   19,96, 3,96,4, 2,14, 5,2,2,1,2,1,2,1,1,4,0,5, 3,2,2,96,2,2,1,1,0,0,0,0,0,0,0,0,0,0,4,3,2, 1,1,6,6,6,3, 1,6,6,2,96,2,6,6,1,4,2,1,2,4,6,6, 4,6, 5, 5, 4,3, 1,5,6
   20,   20, 3, 2,96,2, 1, 7, 2,1,1,2,1,3,3,3,1,6,0,5, 3,2,2,96,2,2,2,1,0,0,0,0,0,0,0,0,0,0,5,2,2, 1,1,6,6,6,3, 1,6,6,2,96,2,6,6,2,1,1,1,1,5,6,6, 5,6, 5, 5, 6,1,96,1,2
   21,   21, 4,96,96,5, 6,96,96,1,5,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2, 1,1,6,6,6,4, 6,9,6,1,96,2,6,6,1,1,1,1,1,5,6,6, 5,6, 5, 5, 5,2, 7,4,4
   22,   22, 2,96,96,7, 9, 7, 7,1,1,2,1,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 6,2,2,2,6,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,96,6,96,96,96,4, 2,1,2
   23,   23,96,96,96,6, 7, 7, 6,1,1,2,1,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 6,2,2,1,6,1, 1,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,96,6,96,96,96,2, 2,2,5
   24,   24, 3,96,96,7, 8,14, 7,1,1,2,1,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 6,2,2,2,6,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,96,6,96,96,96,2,98,2,2
   25,   25,96,96,96,2, 3,14, 3,2,2,1,2,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 1,1,6,6,6,3, 4,2,1,6,96,2,6,6,6,6,2,2,6,6,6,6,96,6,96,96,96,3, 1,6,6
   26,   26,96,96,96,5, 6, 2, 5,1,1,2,1,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 1,1,6,6,6,3, 1,6,6,3,96,2,6,6,2,4,3,2,2,4,6,6, 4,6, 4, 4, 6,4, 2,2,2
   27,   27,96, 6,96,6, 4,11, 6,2,1,1,1,0,1,0,1,1,0,5, 4,2,2,96,2,2,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2, 6,2,2,2,6,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,96,6,96,96,96,3, 3,1,6
   28,   28,96,96,96,3, 4, 8, 3,1,2,2,2,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 1,1,6,6,6,3, 1,6,6,5, 6,2,6,6,5,5,4,2,2,4,6,6, 5,6, 5, 4, 6,4, 1,2,5
   29,   29,96, 4,96,5, 2, 7, 5,2,1,1,1,0,1,0,1,4,0,5, 3,2,2,96,2,2,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2, 1,1,6,6,6,3, 1,6,6,2,96,2,6,6,2,2,2,2,2,4,6,6, 5,6, 5, 4, 5,3, 1,3,6
   30,   30, 3,96, 5,3, 8,96,96,2,5,6,0,0,0,0,2,1,2,6, 8,1,1, 5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,99,2,2,2,6,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,96,6,96,96,96,3, 2,1,2
